rain_ord,sol_ord,ban_num,mnt_pente_mean,mnt_tpi_mean,mnt_tri_mean,mnt_rugosite_mean,mnt_ombrage_mean,mnt_exposition_mean,ANNEE,log_5b,log_chl,contamine,Taux_Chlordecone_clean,Taux_5b_hydro_clean,COMMU_LAB,Sol_simple,RAIN,histoBanane_cat,X,Y,ANNEE,ID,chl_censure
3,1,3,34.6770820617676,0.125,6.375,25.0,229.0,317.337310791016,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,2000-3000,3,726967.162026526,1611603.12863441,2012,21416,1
3,1,3,32.027987773954,-0.329995060161219,5.97687932235893,22.7250246991939,225.587537048791,312.738219945327,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,2000-3000,3,726976.686806193,1611607.04492143,2012,21416,1
2,1,2,31.4285045192789,1.60448087799623,6.48880622138432,23.1791004578508,214.432803662806,180.071167036879,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,1500-2000,2,726985.725367665,1611595.31585786,2012,21416,1
3,1,2,31.4285045192789,1.60448087799623,6.48880622138432,23.1791004578508,214.432803662806,180.071167036879,2012,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FRANCOIS(LE),Vertisol,2000-3000,2,726985.725367665,1611595.31585786,2012,21416,1
3,3,1,39.7392945289612,-1.0875,7.8125,26.5,227.5,317.498303222656,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,TRINITE(LA),Ferralsol,2000-3000,1,718151.283217124,1631971.37431846,2013,21846,1
3,3,1,24.363003049578,-1.28571428571429,5.64285714285714,16.1428571428571,209.857142857143,291.188745771136,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,TRINITE(LA),Ferralsol,2000-3000,1,718104.919169905,1631964.27596528,2013,21846,1
3,3,1,52.355182425916,-0.717215091147139,10.2130097313734,35.7891586394608,239.457347209692,298.662294589675,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,TRINITE(LA),Ferralsol,2000-3000,1,718193.601798856,1631990.93707417,2013,21846,1
3,3,1,46.9164181925326,-2.42645847756881,9.16430080961549,32.6869750223664,236.821736010344,299.601389857836,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,TRINITE(LA),Ferralsol,2000-3000,1,718188.337009848,1631985.08381083,2013,21846,1
3,4,1,40.4474983215332,9.75,11.25,41.0,208.0,8.53076934814453,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINT-PIERRE,Andosol,2000-3000,1,698921.50194783,1630993.82715273,2013,21804,1
3,2,1,34.0147018432617,4.625,7.625,24.0,151.0,204.304550170898,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FONDS-SAINT-DENIS,Nitisol,2000-3000,1,698396.423214875,1631033.57450817,2013,21782,1
3,2,1,34.0147018432617,4.625,7.625,24.0,151.0,204.304550170898,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FONDS-SAINT-DENIS,Nitisol,2000-3000,1,698394.690627674,1631032.69047409,2013,21782,1
3,4,1,4.90697485826858,0.46395373007448,1.01242327273095,3.7723940559137,180.48203447374,79.8296976317327,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FONDS-SAINT-DENIS,Andosol,2000-3000,1,698480.250736981,1631065.58584314,2013,21782,1
3,4,1,23.6150305323689,3.56684454255743,5.10127821670429,15.296935333953,171.161776656487,235.657099057092,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FONDS-SAINT-DENIS,Andosol,2000-3000,1,698411.678837993,1631039.65735713,2013,21782,1
3,4,2,5.79179405801194,0.530928823414544,1.21277761433458,4.5873223465247,182.475602141862,105.496786154541,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,FONDS-SAINT-DENIS,Andosol,2000-3000,2,698483.960622946,1631070.58736183,2013,21782,1
3,-1,1,20.5912609100342,-0.375,3.875,13.0,142.0,119.05460357666,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINT-JOSEPH,No data,2000-3000,1,712263.463089872,1623477.74175294,2013,21864,1
3,4,1,38.118236541748,0.125,7.625,20.0,210.0,4.51398468017578,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINT-JOSEPH,Andosol,2000-3000,1,712236.877833774,1623569.15758343,2013,21862,1
3,4,1,38.118236541748,0.125,7.625,20.0,210.0,4.51398468017578,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINT-JOSEPH,Andosol,2000-3000,1,712242.380576739,1623567.40294128,2013,21862,1
3,-1,1,8.51469326019287,0.5,2.5,6.0,169.0,176.633544921875,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINT-JOSEPH,No data,2000-3000,1,712254.444470561,1623479.78022937,2013,21861,1
3,-1,1,8.51469326019287,0.5,2.5,6.0,169.0,176.633544921875,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,SAINT-JOSEPH,No data,2000-3000,1,712255.599453853,1623479.1389021,2013,21861,1
2,3,1,21.7681103026791,4.38534001155847,5.66951454440378,14.4244654209208,154.823694856482,85.8423381660651,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,DUCOS,Ferralsol,1500-2000,1,721615.79290139,1613090.01020819,2013,21766,1
2,1,1,37.5685716772074,-3.1274903640307,7.93704977570644,23.9869165989706,111.842439428266,156.874256536144,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,RIVIERE-PILOTE,Vertisol,1500-2000,1,727537.289281595,1608772.9583128,2013,21794,1
2,1,1,34.4322864822811,-0.921483259129196,6.7488038468107,20.6134708393337,122.151456557758,168.608175338959,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,RIVIERE-PILOTE,Vertisol,1500-2000,1,727554.810440926,1608782.20218948,2013,21794,1
3,1,1,37.5685716772074,-3.1274903640307,7.93704977570644,23.9869165989706,111.842439428266,156.874256536144,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,RIVIERE-PILOTE,Vertisol,2000-3000,1,727537.289281595,1608772.9583128,2013,21794,1
3,1,1,34.4322864822811,-0.921483259129196,6.7488038468107,20.6134708393337,122.151456557758,168.608175338959,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,RIVIERE-PILOTE,Vertisol,2000-3000,1,727554.810440926,1608782.20218948,2013,21794,1
3,3,2,25.1098723204699,5.67639836394241,5.7420579189019,14.3657163482592,156.879563991679,69.5101351441519,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Ferralsol,2000-3000,2,718592.822910342,1622788.85659859,2013,21775,1
3,3,1,35.9195733001639,-1.80830865296993,6.99000963051943,19.4116891723967,131.592597962058,85.1403837825752,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Ferralsol,2000-3000,1,718614.520422815,1622766.81573607,2013,21775,1
3,3,2,26.6513603300397,3.33509539939351,4.93922632481884,14.0694206169502,144.402835644549,85.8865426643601,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Ferralsol,2000-3000,2,718608.100302632,1622774.94771057,2013,21775,1
3,3,2,24.5458755493164,4.5,4.5,13.0,147.0,86.496467590332,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Ferralsol,2000-3000,2,718599.704625119,1622783.28871966,2013,21775,1
3,3,1,29.5673751779201,1.72174765979796,5.54753776761717,15.5505267385461,140.805863634959,85.0418202723913,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Ferralsol,2000-3000,1,718610.083397637,1622769.36618317,2013,21775,1
3,3,2,24.5458755493164,4.5,4.5,13.0,147.0,86.496467590332,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Ferralsol,2000-3000,2,718605.485193451,1622775.03191263,2013,21775,1
3,3,2,17.93666383535,2.755641461971,3.39270124297129,10.3896123113347,173.075170168689,46.4700000347488,2013,0.0148886124937506,0.0016486402455244,0,0.00165,0.015,ROBERT(LE),Ferralsol,2000-3000,2,718585.213497343,1622789.14926292,2013,21775,1
